customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_paperlessbilling,account_charges_monthly,total_mensual,dias_contrato,total_diario,paymentmethod_credit card (automatic),paymentmethod_electronic check,paymentmethod_mailed check,tipo_contrato_Bienal,tipo_contrato_Mensual,churn_numeric
1319-ylzjg,no,male,0,yes,no,12,yes,no,fiber optic,yes,yes,yes,no,no,no,yes,84.6,959.9,30,31.996666666666666,False,True,False,False,True,0.0
1320-gvnht,no,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,yes,108.4,7767.25,730,10.640068493150684,True,False,False,True,False,0.0
1320-htrdr,yes,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,yes,75.5,220.6,30,7.3533333333333335,False,True,False,False,True,1.0
1320-rehcs,no,male,1,no,no,52,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,yes,110.75,5832.0,30,194.4,False,True,False,False,True,0.0
1322-agoqm,yes,male,0,no,no,46,no,no phone service,dsl,no,yes,no,no,no,no,no,30.3,1380.1,30,46.00333333333333,False,False,False,False,True,1.0
1323-ooepc,yes,female,0,yes,no,53,yes,yes,fiber optic,no,yes,no,no,yes,yes,yes,98.4,5149.5,30,171.65,True,False,False,False,True,1.0
1324-nltje,yes,female,1,no,no,15,yes,yes,dsl,no,no,no,yes,no,no,no,55.0,757.1,30,25.236666666666668,True,False,False,False,True,1.0
1325-usmec,no,male,0,yes,no,70,yes,yes,fiber optic,yes,yes,yes,no,yes,no,yes,99.35,6944.5,730,9.513013698630138,True,False,False,True,False,0.0
1328-euzhc,no,female,0,yes,no,18,yes,no,no,no internet service,no,no,no,no,no,no,20.1,370.5,730,0.5075342465753425,False,False,True,True,False,0.0
1329-vhwnp,no,female,0,no,no,7,no,no phone service,dsl,no,no,no,no,no,no,no,25.05,189.95,30,6.331666666666666,False,False,False,False,True,0.0
1333-pbmxb,no,female,0,yes,yes,54,yes,yes,no,no internet service,no,no,no,no,no,yes,24.75,1342.15,365,3.677123287671233,False,False,False,False,False,0.0
1334-fjsvr,yes,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,yes,24.25,24.25,30,0.8083333333333333,False,True,False,False,True,1.0
1334-pdukm,no,female,0,yes,no,68,yes,yes,fiber optic,no,yes,yes,no,no,no,no,86.45,5762.95,365,15.78890410958904,True,False,False,False,False,0.0
1335-hqmkx,no,female,0,yes,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,101.35,7323.15,365,20.063424657534245,False,True,False,False,False,0.0
1335-mxcse,no,male,0,yes,yes,55,yes,no,dsl,no,no,yes,yes,no,no,yes,55.25,3119.9,730,4.273835616438356,True,False,False,True,False,0.0
1335-ntiuc,no,male,0,no,no,9,no,no phone service,dsl,no,no,no,no,no,no,yes,24.95,190.25,30,6.341666666666667,False,True,False,False,True,0.0
1336-ezfzy,no,female,0,no,no,4,yes,no,no,no internet service,no,no,no,no,no,no,20.05,83.3,30,2.7766666666666664,False,False,True,False,True,0.0
1337-bozwo,no,male,0,yes,yes,18,no,no phone service,dsl,no,yes,yes,no,yes,no,no,46.4,812.4,365,2.225753424657534,True,False,False,False,False,0.0
1338-cecee,no,male,0,yes,yes,41,yes,yes,dsl,no,yes,yes,no,yes,no,no,68.5,2839.95,365,7.7806849315068485,False,False,False,False,False,0.0
1342-jpnki,yes,male,0,no,no,10,yes,yes,fiber optic,no,no,no,no,yes,no,yes,86.05,834.1,30,27.803333333333335,False,False,False,False,True,1.0
1343-ehpyb,yes,male,0,yes,no,63,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,103.4,6603.0,30,220.1,False,True,False,False,True,1.0
1345-gkdzz,no,male,0,no,yes,6,yes,no,no,no internet service,no,no,no,no,no,no,19.55,128.6,30,4.286666666666666,False,False,True,False,True,0.0
1345-zukid,no,male,0,no,no,14,yes,no,no,no internet service,no,no,no,no,no,no,19.35,324.8,365,0.8898630136986302,False,False,True,False,False,0.0
1346-pjwtk,no,male,0,yes,no,61,yes,no,fiber optic,no,yes,yes,yes,no,yes,no,94.15,5731.85,30,191.06166666666667,True,False,False,False,True,0.0
1346-ufhax,no,female,0,no,no,13,yes,yes,fiber optic,yes,no,no,no,no,no,yes,80.0,1029.35,30,34.31166666666666,True,False,False,False,True,0.0
1347-kttta,no,male,0,yes,no,64,yes,no,fiber optic,no,yes,yes,yes,yes,yes,yes,102.45,6654.1,365,18.23041095890411,True,False,False,False,False,0.0
1349-wxngg,yes,male,0,no,no,1,yes,no,no,no internet service,no,no,no,no,no,no,20.05,20.05,30,0.6683333333333333,False,False,False,False,True,1.0
1352-hnsaw,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,115.6,8220.4,730,11.260821917808219,False,False,False,True,False,0.0
1352-vhkaj,no,male,0,yes,yes,27,yes,yes,dsl,no,no,no,yes,yes,yes,no,71.6,1957.1,30,65.23666666666666,False,False,False,False,True,0.0
1353-ghzos,no,male,0,yes,no,22,yes,no,dsl,yes,no,no,no,yes,no,yes,59.75,1374.35,365,3.7653424657534242,False,False,False,False,False,0.0
1353-ljwem,no,male,0,no,no,11,yes,no,dsl,no,yes,yes,yes,no,no,yes,60.9,688.5,30,22.95,False,True,False,False,True,0.0
1354-yzfnb,no,male,0,yes,yes,4,yes,no,no,no internet service,no,no,no,no,no,no,19.55,68.8,730,0.09424657534246575,True,False,False,True,False,0.0
1355-kusbg,no,female,0,yes,yes,7,yes,yes,dsl,no,no,no,no,no,no,no,48.8,349.8,30,11.66,False,True,False,False,True,0.0
1356-mkysk,no,male,0,no,no,6,yes,no,dsl,yes,no,yes,yes,yes,yes,no,78.65,483.3,30,16.11,True,False,False,False,True,0.0
1357-bijki,no,male,0,yes,no,50,yes,yes,fiber optic,no,yes,no,no,yes,yes,yes,98.25,4858.7,365,13.311506849315068,False,True,False,False,False,0.0
1357-mvdoz,no,male,0,yes,yes,11,yes,no,dsl,no,no,yes,no,yes,no,yes,59.65,683.25,30,22.775,False,False,False,False,True,0.0
1360-jyxkq,no,female,1,yes,no,54,yes,no,fiber optic,no,no,yes,yes,yes,yes,yes,99.1,5437.1,365,14.896164383561645,False,True,False,False,False,0.0
1360-rcyrt,no,male,0,yes,yes,23,no,no phone service,dsl,no,no,no,yes,no,no,yes,30.35,678.75,30,22.625,False,False,False,False,True,0.0
1360-xfjmr,no,female,0,yes,no,67,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,yes,109.7,7344.45,365,20.121780821917806,True,False,False,False,False,0.0
1363-txlsl,yes,male,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,yes,70.3,70.3,30,2.3433333333333333,False,True,False,False,True,1.0
1370-aqyem,,male,0,yes,yes,5,yes,no,fiber optic,yes,no,yes,no,no,yes,yes,90.35,434.5,30,14.483333333333333,False,False,True,False,True,
1370-ggawx,no,female,0,no,no,46,yes,yes,fiber optic,no,yes,yes,no,no,yes,yes,94.15,4408.45,365,12.077945205479452,False,True,False,False,False,0.0
1371-dwpaz,no,female,0,yes,yes,0,no,no phone service,dsl,yes,yes,yes,yes,yes,no,no,56.05,1391.0,730,1.9054794520547946,True,False,False,True,False,0.0
1371-ojcek,no,female,0,no,no,48,yes,yes,no,no internet service,no,no,no,no,no,no,24.35,1133.7,365,3.106027397260274,False,False,False,False,False,0.0
1371-wepds,no,male,1,yes,no,40,yes,no,dsl,no,no,no,no,no,yes,no,55.8,2283.3,365,6.2556164383561645,False,True,False,False,False,0.0
1373-orviz,yes,female,0,yes,yes,11,yes,yes,dsl,no,no,no,yes,no,yes,yes,66.35,740.8,30,24.69333333333333,False,True,False,False,True,1.0
1374-dmzui,yes,female,1,no,no,4,yes,yes,fiber optic,no,no,no,no,yes,yes,yes,94.3,424.45,30,14.148333333333333,False,True,False,False,True,1.0
1376-hhbdv,no,female,0,no,no,30,yes,no,dsl,yes,no,no,no,no,no,yes,48.8,1536.75,30,51.225,False,False,True,False,True,0.0
1379-frveb,no,male,0,no,yes,15,yes,yes,fiber optic,no,yes,no,no,yes,no,yes,91.0,1430.05,30,47.66833333333333,False,True,False,False,True,0.0
1383-ezrwl,yes,female,0,no,no,7,yes,no,no,no internet service,no,no,no,no,no,no,20.05,164.85,30,5.495,False,False,True,False,True,1.0
1384-rcuxw,no,male,0,no,no,16,yes,yes,fiber optic,no,yes,no,no,no,no,yes,80.55,1248.9,30,41.63,False,False,True,False,True,0.0
1385-tqozw,no,female,0,no,no,9,yes,no,no,no internet service,no,no,no,no,no,yes,20.45,147.55,30,4.918333333333334,True,False,False,False,True,0.0
1386-zikuv,no,male,0,no,no,7,yes,no,no,no internet service,no,no,no,no,no,yes,18.95,130.55,30,4.3516666666666675,False,False,True,False,True,0.0
1389-cxmlu,yes,male,1,no,no,3,yes,yes,fiber optic,no,no,yes,no,yes,no,no,91.05,289.1,30,9.636666666666667,False,True,False,False,True,1.0
1389-wnuib,no,female,0,yes,yes,20,yes,yes,dsl,yes,no,no,no,yes,yes,no,76.0,1588.75,365,4.352739726027397,False,False,False,False,False,0.0
1391-ubdar,no,male,0,no,no,11,yes,no,fiber optic,no,no,yes,no,no,no,no,72.9,818.45,30,27.28166666666667,False,True,False,False,True,0.0
1393-imkzg,no,female,0,no,no,1,yes,no,fiber optic,no,no,no,yes,yes,yes,yes,95.85,95.85,30,3.195,False,True,False,False,True,0.0
1394-suiuh,no,female,1,yes,no,44,yes,no,fiber optic,yes,yes,no,yes,no,no,yes,85.15,3670.5,30,122.35,False,True,False,False,True,0.0
1395-ofuwc,no,male,0,yes,yes,43,no,no phone service,dsl,no,yes,no,no,no,no,no,29.3,1224.05,30,40.80166666666666,True,False,False,False,True,0.0
1395-qouwc,,female,0,yes,yes,22,yes,no,dsl,no,yes,no,no,yes,yes,yes,69.5,1498.2,365,4.104657534246575,False,False,False,False,False,
1395-wswxr,no,male,0,no,no,24,yes,no,no,no internet service,no,no,no,no,no,no,20.75,487.05,730,0.6671917808219179,False,False,True,True,False,0.0
1396-qwfbj,yes,female,0,yes,yes,21,yes,no,fiber optic,no,yes,no,no,no,no,yes,74.05,1565.7,30,52.190000000000005,False,False,False,False,True,1.0
1397-xkkwr,no,male,0,no,no,7,no,no phone service,dsl,yes,no,yes,no,no,no,no,35.3,264.8,365,0.7254794520547946,False,False,True,False,False,0.0
1399-oupjn,no,female,0,yes,yes,57,yes,no,no,no internet service,no,no,no,no,no,no,19.75,1272.05,730,1.7425342465753424,False,False,False,True,False,0.0
1399-ubqiu,no,male,0,no,no,11,yes,no,dsl,no,no,yes,no,yes,yes,yes,69.35,712.25,30,23.741666666666667,False,True,False,False,True,0.0
1400-mmyxy,yes,male,1,yes,no,3,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,105.9,334.65,30,11.155,False,True,False,False,True,1.0
1400-wivll,no,male,0,yes,no,57,yes,yes,fiber optic,no,no,yes,yes,yes,yes,no,107.95,5969.85,730,8.177876712328768,False,True,False,True,False,0.0
1401-fthfq,no,male,0,yes,yes,23,yes,no,no,no internet service,no,no,no,no,no,yes,20.0,445.3,365,1.22,True,False,False,False,False,0.0
1402-pthgn,no,female,0,yes,yes,18,yes,no,dsl,yes,yes,no,yes,no,no,yes,61.5,1087.45,365,2.979315068493151,False,False,True,False,False,0.0
1403-gyafu,no,male,0,yes,yes,70,yes,no,no,no internet service,no,no,no,no,no,no,20.05,1360.25,730,1.8633561643835617,True,False,False,True,False,0.0
1403-lklik,no,female,0,yes,yes,33,yes,no,no,no internet service,no,no,no,no,no,no,20.1,579.4,365,1.5873972602739725,False,False,True,False,False,0.0
1406-puqvy,no,male,0,no,yes,1,yes,no,dsl,no,yes,no,no,no,no,yes,49.9,49.9,30,1.6633333333333333,False,True,False,False,True,0.0
1407-digzv,no,female,0,yes,yes,3,yes,no,no,no internet service,no,no,no,no,no,no,19.1,52.0,730,0.07123287671232877,False,False,True,True,False,0.0
1409-phxtf,no,male,1,yes,no,54,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,yes,110.45,6077.75,730,8.32568493150685,False,True,False,True,False,0.0
1410-rscmr,no,male,0,yes,yes,7,yes,no,dsl,yes,no,yes,yes,no,yes,yes,71.35,515.75,30,17.191666666666666,True,False,False,False,True,0.0
1414-yadcw,no,male,0,yes,no,70,yes,no,fiber optic,yes,yes,no,yes,no,no,no,84.6,5706.2,730,7.816712328767123,False,False,False,True,False,0.0
1415-yfwlt,yes,female,1,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,yes,89.3,89.3,30,2.9766666666666666,False,True,False,False,True,1.0
1421-hcerk,no,male,1,yes,no,30,yes,yes,fiber optic,yes,yes,yes,yes,yes,no,yes,105.7,3181.8,30,106.06,False,False,False,False,True,0.0
1422-dgubx,no,male,0,yes,no,32,yes,yes,fiber optic,no,no,no,yes,no,no,yes,79.25,2619.15,365,7.175753424657534,False,True,False,False,False,0.0
1423-bmpbq,no,female,0,yes,yes,1,yes,no,no,no internet service,no,no,no,no,no,yes,19.0,19.0,30,0.6333333333333333,False,False,True,False,True,0.0
1427-gopmo,,male,0,no,no,57,yes,yes,fiber optic,no,no,no,no,yes,no,yes,86.9,4939.25,365,13.532191780821918,False,True,False,False,False,
1427-versm,no,female,0,yes,no,56,yes,no,fiber optic,no,no,yes,yes,yes,yes,yes,98.7,5669.5,30,188.98333333333332,False,True,False,False,True,0.0
1428-gtbjj,yes,male,0,no,no,11,yes,no,fiber optic,no,yes,no,no,no,no,yes,74.55,824.75,30,27.491666666666667,False,True,False,False,True,1.0
1428-iedpr,no,male,0,no,no,52,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,yes,109.3,5731.4,730,7.851232876712328,False,True,False,True,False,0.0
1428-qpool,,female,0,yes,yes,65,yes,yes,dsl,yes,yes,no,yes,yes,yes,yes,82.5,5215.1,730,7.143972602739726,False,False,False,True,False,
1429-uyjsv,no,female,0,no,no,12,yes,no,no,no internet service,no,no,no,no,no,no,19.7,260.9,365,0.7147945205479451,False,False,True,False,False,0.0
1430-sfqsa,no,male,0,no,no,29,no,no phone service,dsl,yes,no,no,yes,no,no,no,35.6,1072.6,365,2.9386301369863013,False,False,True,False,False,0.0
1431-aidjq,no,male,0,yes,yes,33,yes,no,dsl,no,yes,yes,yes,yes,yes,no,82.1,2603.1,730,3.565890410958904,True,False,False,True,False,0.0
1431-cywmh,no,female,0,yes,yes,22,yes,no,no,no internet service,no,no,no,no,no,no,19.05,454.05,30,15.135,False,False,False,False,True,0.0
1432-fpaxx,yes,female,0,no,no,29,no,no phone service,dsl,no,yes,no,no,no,no,yes,30.6,856.35,30,28.545,False,True,False,False,True,1.0
1436-zmjan,no,female,0,yes,no,10,yes,no,dsl,no,no,yes,no,yes,yes,yes,67.8,653.15,30,21.771666666666665,True,False,False,False,True,0.0
1439-lcgvl,no,female,0,yes,no,26,yes,no,no,no internet service,no,no,no,no,no,no,19.2,459.6,365,1.2591780821917808,False,False,True,False,False,0.0
1442-bqpvu,no,female,0,no,no,13,no,no phone service,dsl,no,yes,no,no,no,no,no,29.15,357.15,30,11.905,False,True,False,False,True,0.0
1442-okrje,no,male,0,yes,yes,66,yes,no,fiber optic,yes,yes,yes,no,yes,yes,yes,103.15,7031.3,365,19.263835616438357,False,False,False,False,False,0.0
1444-vvsgw,yes,male,0,yes,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,no,115.65,7968.85,365,21.832465753424657,True,False,False,False,False,1.0
1447-giqmr,yes,male,0,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,yes,69.15,69.15,30,2.305,False,True,False,False,True,1.0
1447-pjgga,yes,female,0,no,no,57,yes,no,fiber optic,no,no,yes,no,yes,yes,yes,95.25,5464.65,730,7.485821917808218,False,True,False,True,False,1.0
1448-cywkc,no,female,0,yes,yes,58,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,105.2,6225.4,365,17.055890410958902,True,False,False,False,False,0.0
1448-pwkye,yes,male,0,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,yes,no,80.0,80.0,30,2.6666666666666665,False,True,False,False,True,1.0
1449-xqemt,yes,male,0,no,no,3,yes,no,no,no internet service,no,no,no,no,no,yes,19.8,58.15,30,1.9383333333333332,False,False,True,False,True,1.0
1450-galxr,yes,female,0,no,no,10,yes,yes,fiber optic,no,no,no,yes,yes,yes,yes,98.5,1058.25,30,35.275,False,True,False,False,True,1.0
1450-skcvi,yes,female,0,no,no,56,yes,no,fiber optic,no,yes,no,no,no,no,yes,73.85,4092.85,30,136.42833333333334,False,True,False,False,True,1.0
1452-kiovk,no,male,0,no,yes,22,yes,yes,fiber optic,no,yes,no,no,yes,no,yes,89.1,1949.4,30,64.98,True,False,False,False,True,0.0
1452-uzosf,no,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,no,yes,106.1,7548.6,730,10.34054794520548,True,False,False,True,False,0.0
1452-voqch,no,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,yes,75.1,75.1,30,2.503333333333333,False,True,False,False,True,0.0
1452-xrsjv,no,female,0,yes,yes,39,yes,no,dsl,yes,no,no,no,no,no,no,51.05,2066.0,30,68.86666666666666,True,False,False,False,True,0.0
1453-rzfon,no,female,0,no,yes,1,yes,no,dsl,yes,no,no,no,no,no,no,49.9,49.9,30,1.6633333333333333,False,False,True,False,True,0.0
1455-esiqh,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,yes,89.1,89.1,30,2.9699999999999998,False,True,False,False,True,1.0
1455-hfbxa,no,male,0,yes,no,52,yes,yes,fiber optic,yes,no,yes,yes,no,no,yes,91.6,4627.8,730,6.339452054794521,True,False,False,True,False,0.0
1455-ugqvh,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,yes,no,yes,yes,yes,98.5,1037.75,30,34.59166666666667,False,True,False,False,True,1.0
1456-twcgb,no,male,0,no,no,4,yes,no,dsl,no,yes,no,no,no,no,no,49.25,208.45,30,6.948333333333333,False,False,True,False,True,0.0
1459-qnfqt,no,male,0,yes,yes,70,no,no phone service,dsl,yes,no,yes,yes,yes,yes,no,59.5,4144.8,730,5.6778082191780825,False,False,False,True,False,0.0
1460-uzprj,no,male,0,yes,no,60,yes,no,no,no internet service,no,no,no,no,no,no,19.95,1258.15,730,1.7234931506849316,False,False,True,True,False,0.0
1465-lntlj,no,male,1,yes,no,8,yes,no,dsl,no,no,yes,yes,no,yes,yes,64.4,581.7,30,19.39,True,False,False,False,True,0.0
1465-vindh,yes,female,0,yes,yes,10,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,102.1,1068.85,30,35.62833333333333,True,False,False,False,True,1.0
1465-wczvt,no,female,0,yes,yes,3,yes,no,no,no internet service,no,no,no,no,no,no,19.65,60.65,30,2.0216666666666665,False,False,True,False,True,0.0
1468-defnc,no,male,1,yes,yes,64,yes,yes,no,no internet service,no,no,no,no,no,yes,24.4,1548.65,730,2.1214383561643837,False,False,False,True,False,0.0
1469-lbjqj,no,female,0,yes,no,66,yes,yes,fiber optic,no,yes,yes,no,yes,yes,yes,105.2,6936.85,30,231.22833333333335,False,True,False,False,True,0.0
1470-psxnm,no,male,0,yes,yes,49,yes,yes,fiber optic,no,yes,yes,no,yes,no,yes,93.65,4520.15,365,12.383972602739725,False,True,False,False,False,0.0
1471-giqkq,no,female,0,no,no,1,yes,no,dsl,no,yes,no,no,no,no,no,49.95,49.95,30,1.665,False,True,False,False,True,0.0
1472-tncwl,no,male,0,no,yes,36,yes,no,fiber optic,no,yes,no,no,yes,yes,yes,94.7,3512.5,30,117.08333333333333,False,True,False,False,True,0.0
1474-juwsm,no,female,0,yes,no,58,yes,yes,dsl,yes,no,no,yes,no,yes,yes,68.4,3972.25,365,10.882876712328768,False,True,False,False,False,0.0
1475-vwvdo,no,male,0,no,no,7,yes,no,fiber optic,no,no,yes,no,no,no,yes,74.9,490.55,30,16.351666666666667,False,True,False,False,True,0.0
1478-vpoad,no,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,no,43.8,43.8,30,1.46,False,True,False,False,True,0.0
1480-bkxga,no,male,1,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,116.05,8404.9,730,11.513561643835615,False,False,False,True,False,0.0
1480-ivevr,no,male,1,yes,no,35,yes,yes,fiber optic,no,no,yes,no,no,no,yes,81.6,2815.25,365,7.713013698630137,False,False,False,False,False,0.0
1481-zuwza,yes,male,0,no,no,28,yes,yes,fiber optic,yes,yes,no,no,no,yes,yes,94.5,2659.4,30,88.64666666666668,True,False,False,False,True,1.0
1482-oxzsy,no,male,0,no,no,30,yes,yes,fiber optic,yes,no,no,no,yes,yes,yes,100.4,2936.25,30,97.875,False,False,False,False,True,0.0
1485-ydhmm,no,male,0,yes,yes,52,yes,yes,fiber optic,no,yes,no,yes,no,yes,yes,93.25,4631.7,30,154.39,False,False,False,False,True,0.0
1488-pbljn,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,116.85,8477.7,730,11.613287671232877,False,False,False,True,False,0.0
1488-sysfc,no,male,0,yes,yes,31,yes,no,no,no internet service,no,no,no,no,no,yes,20.65,702.05,30,23.401666666666664,False,True,False,False,True,0.0
1492-kgeth,no,male,0,yes,yes,70,yes,yes,dsl,yes,yes,yes,yes,no,yes,no,78.35,5445.95,365,14.920410958904109,False,False,False,False,False,0.0
1492-qgclu,no,male,0,yes,yes,53,yes,yes,dsl,yes,no,yes,yes,yes,yes,no,85.7,4616.1,30,153.87,False,True,False,False,True,0.0
1493-amtie,yes,male,0,no,no,1,yes,no,no,no internet service,no,no,no,no,no,yes,20.2,20.2,30,0.6733333333333333,False,False,False,False,True,1.0
1494-ejzdw,no,female,0,yes,yes,10,yes,no,no,no internet service,no,no,no,no,no,no,20.15,220.8,730,0.30246575342465754,False,False,True,True,False,0.0
1496-ggsuk,yes,female,1,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,yes,25.7,25.7,30,0.8566666666666667,False,False,True,False,True,1.0
1498-dqnrx,no,female,0,yes,no,29,yes,no,no,no internet service,no,no,no,no,no,no,19.85,573.05,30,19.101666666666667,False,False,True,False,True,0.0
1498-nhtlt,no,male,0,yes,yes,59,yes,no,dsl,yes,yes,yes,yes,yes,yes,yes,86.75,5186.0,730,7.104109589041096,False,True,False,True,False,0.0
1501-sghbw,yes,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,no,45.85,81.0,30,2.7,False,False,True,False,True,1.0
1502-xfcvr,yes,female,0,no,no,58,yes,no,fiber optic,yes,yes,yes,no,yes,yes,yes,106.45,6145.85,365,16.837945205479453,False,True,False,False,False,1.0
1506-yjtyt,no,male,0,yes,yes,45,yes,yes,dsl,yes,yes,no,yes,yes,no,no,73.85,3371.0,730,4.617808219178082,True,False,False,True,False,0.0
1508-dfxcu,no,male,0,no,no,12,yes,no,fiber optic,no,no,no,no,yes,no,yes,81.45,912.0,30,30.4,False,True,False,False,True,0.0
1513-xnpph,yes,female,0,no,no,12,yes,no,fiber optic,no,no,yes,yes,no,yes,yes,89.4,1095.65,30,36.52166666666667,False,True,False,False,True,1.0
1518-omdik,no,male,0,yes,no,33,yes,no,dsl,no,no,no,no,no,no,yes,44.55,1462.6,30,48.75333333333333,True,False,False,False,True,0.0
1518-vowav,yes,female,0,no,no,9,yes,no,dsl,yes,yes,no,no,yes,yes,yes,74.65,703.55,30,23.451666666666664,False,True,False,False,True,1.0
1522-vvdmg,yes,male,0,yes,yes,7,yes,no,fiber optic,no,yes,no,yes,yes,no,yes,89.75,608.8,30,20.293333333333333,False,True,False,False,True,1.0
1525-lnloj,no,male,0,yes,yes,66,yes,yes,dsl,no,no,yes,no,yes,no,yes,63.3,4189.7,730,5.73931506849315,False,False,False,True,False,0.0
1527-sxdpn,yes,male,0,yes,yes,52,yes,yes,fiber optic,no,no,yes,yes,no,yes,yes,96.25,4990.25,730,6.835958904109589,False,False,False,True,False,1.0
1530-ztdoz,no,female,0,yes,no,49,no,no phone service,dsl,yes,no,no,no,yes,no,no,40.65,2070.75,30,69.025,False,False,False,False,True,0.0
1534-oulxe,no,female,0,yes,yes,61,yes,no,dsl,yes,no,no,no,no,no,yes,49.7,2961.4,365,8.113424657534248,False,False,False,False,False,0.0
1535-vtjoq,no,female,0,no,no,24,yes,yes,no,no internet service,no,no,no,no,no,no,25.15,553.0,730,0.7575342465753425,True,False,False,True,False,0.0
1536-hbswp,no,female,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,yes,49.9,49.9,30,1.6633333333333333,False,True,False,False,True,0.0
1536-yhdoe,no,male,0,yes,yes,17,yes,yes,dsl,yes,no,no,yes,no,no,yes,62.1,1096.65,365,3.0045205479452055,False,False,True,False,False,0.0
1539-lnkhm,no,female,0,no,no,12,yes,no,no,no internet service,no,no,no,no,no,no,20.4,266.6,30,8.886666666666667,False,False,True,False,True,0.0
1541-etjzo,yes,male,0,no,no,1,yes,yes,dsl,no,no,yes,yes,no,no,no,62.05,62.05,30,2.0683333333333334,False,False,True,False,True,1.0
1543-lllft,no,male,1,yes,no,61,yes,yes,fiber optic,no,yes,yes,yes,yes,no,yes,98.3,6066.55,365,16.62068493150685,False,False,True,False,False,0.0
1544-jjmyl,no,male,0,no,no,27,yes,no,dsl,yes,no,yes,yes,yes,no,no,69.35,1927.3,365,5.28027397260274,True,False,False,False,False,0.0
1545-actas,no,female,0,yes,yes,48,yes,no,fiber optic,yes,no,yes,no,yes,yes,yes,99.7,4977.2,365,13.636164383561644,False,False,False,False,False,0.0
1545-jfuml,no,male,0,yes,no,71,yes,yes,fiber optic,yes,yes,yes,no,yes,no,yes,99.0,6994.6,730,9.58164383561644,False,True,False,True,False,0.0
1548-aragg,no,female,0,yes,yes,4,yes,yes,dsl,no,yes,no,yes,no,no,yes,58.5,224.85,30,7.495,False,False,True,False,True,0.0
1548-fehvl,no,male,0,yes,no,61,yes,yes,fiber optic,yes,yes,no,no,yes,yes,yes,106.2,6375.2,30,212.50666666666666,False,True,False,False,True,0.0
1550-eenbn,no,female,0,no,no,31,yes,yes,fiber optic,yes,yes,no,no,yes,yes,no,104.35,3205.6,30,106.85333333333332,False,True,False,False,True,0.0
1550-loaha,yes,female,0,yes,no,32,yes,no,fiber optic,no,yes,no,no,no,yes,no,84.15,2585.95,30,86.19833333333332,False,False,False,False,True,1.0
1552-aagrx,no,female,0,no,no,30,yes,yes,fiber optic,yes,no,no,yes,yes,yes,no,106.4,3211.9,30,107.06333333333333,False,False,False,False,True,0.0
1552-czcll,no,female,0,yes,yes,55,yes,no,no,no internet service,no,no,no,no,no,no,20.0,1087.25,30,36.24166666666667,True,False,False,False,True,0.0
1552-tkmxs,no,female,0,yes,no,42,yes,no,no,no internet service,no,no,no,no,no,no,20.35,869.9,30,28.996666666666666,True,False,False,False,True,0.0
1555-djeqw,yes,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,yes,114.2,7723.9,730,10.580684931506848,False,False,False,True,False,1.0
1555-hapsu,no,female,0,yes,yes,71,yes,yes,no,no internet service,no,no,no,no,no,no,23.9,1663.5,730,2.2787671232876714,True,False,False,True,False,0.0
1557-emyvt,no,female,0,no,no,43,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,no,115.05,4895.1,730,6.705616438356165,True,False,False,True,False,0.0
1559-dtodc,no,male,0,no,no,19,no,no phone service,dsl,no,no,no,no,no,no,yes,25.15,468.35,30,15.611666666666668,False,False,False,False,True,0.0
